"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P3";"FFC_REBELSIM";1;"FFC";;;
2;"D5";"LED-0603";1;"GREEN";;;
3;"D4";"LED-0603";1;"RED";;;
4;"P1";"pin_array_10x2";1;"JTAG";;;
5;"JP2";"PIN_ARRAY_2X1";1;"ERASE";;;
6;"JP1";"PIN_ARRAY_2X1";1;"TEST";;;
7;"BT1";"PIN_ARRAY_2X1";1;"4.5-6V";;;
8;"X1";"Q_49U3HMS";1;"18.432MHz";;;
9;"R18,R17,R16,R2";"SM0603";4;"10K";;;
10;"R14,R13";"SM0603";2;"150R";;;
11;"R12,R8,R7,R6,R5,R4,R1,R22,R19";"SM0603";9;"100K";;;
12;"R11,R3";"SM0603";2;"1K5";;;
13;"R10,R9";"SM0603";2;"27R";;;
14;"C23,C20,C19,C16,C15,C9,C7,C4,C3,C24";"SM0603";10;"100nF";;;
15;"C22,C21,C14";"SM0603";3;"1uF";;;
16;"C18,C17";"SM0603";2;"10pF";;;
17;"C13,C11";"SM0603";2;"15pF";;;
18;"C12,C1";"SM0603";2;"2.2uF";;;
19;"C10";"SM0603";1;"1nF";;;
20;"C6";"SM0603";1;"10nF";;;
21;"C5";"SM0603";1;"33pF";;;
22;"FB2,FB1";"SM0805";2;"FILTER";;;
23;"D3,D2";"SOD123";2;"1N5819";;;
24;"D1";"SOD123";1;"Schottky";;;
25;"U1";"SOIC8";1;"FLASH";;;
26;"IC3";"TQFP_64";1;"AT91SAM7S";;;
27;"P2";"PIN_ARRAY-6X1";1;"DEBUG";;;
28;"Q2,Q1";"SOT23_BC847";2;"BC847";;;
29;"SW1";"PUSH_BUTTON";1;"RESET";;;
30;"SW2";"PUSH_BUTTON";1;"BOOTLOADER";;;
31;"P4";"SIM_AMPHENOL";1;"SIM";;;
32;"IC4";"SSOP20_BDQ";1;"CB3Q3244";;;
33;"R21,R20";"SM0603";2;"10k1%";;;
34;"IC5";"SOT353";1;"FPF2005";;;
35;"IC2";"SOT26";1;"AP7332";;;
36;"P5";"SAM_FCI";1;"SAM";;;
37;"J2";"JACK2.5_SJ1-2503A";1;"JACK_2.5";;;
38;"J1";"USB-MINI-B_54819-0519";1;"USB";;;
